,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,65304.91734,32844.17013,23073.23961,17802.40254,14757.09413,12801.14301,11207.26788,10216.01855,9306.427835,8375.660155,8503.100625,7977.144593,7183.848139,6594.14309,6256.838615,5951.243789
2,65375.92541,32994.88998,14864.0105,11999.93554,9241.282324,7645.46037,7611.768741,5937.278619,5436.453606,4957.740797,5185.251227,4747.586647,3820.602907,3382.976931,3229.510662,3059.16712
3,27714.34816,15172.06205,10359.70815,8190.020713,6843.465792,6278.423831,5724.503636,5476.386598,4966.549296,4319.155066,3763.251346,3582.597306,3338.484935,3022.685591,2770.404559,2573.619985
4,22672.33054,12044.51999,7799.697181,6403.060371,5313.024337,4579.021471,4181.092344,4048.045847,3479.863143,3233.629821,2790.84243,2600.281969,2405.662972,2117.088213,2074.516138,1844.456576
5,17876.72567,13701.06488,7669.507147,5443.630073,5112.180805,3887.51788,3646.143478,3780.785041,3613.211,3620.833298,3157.619221,2736.608574,2338.922599,2160.894688,2309.426926,2013.856623
6,13492.63543,13271.1636,7144.104252,3864.356958,6849.001457,4830.439022,3850.92994,3077.832364,2798.57628,2609.849297,2602.443749,2565.376725,2910.862952,2603.768659,2315.576447,2063.598338
7,11962.08507,12070.65573,11965.48756,6228.375547,4462.229943,3653.861362,3498.465115,2924.763743,2792.591102,2663.562002,2677.230311,2229.060288,1735.274447,1834.888083,1808.514103,1843.617144
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,6,7,8,9,10,11,12,13,14,15,16,,,,,
1,12801.14301,11207.26788,10216.01855,9306.427835,8375.660155,8503.100625,7977.144593,7183.848139,6594.14309,6256.838615,5951.243789,,,,,
2,7645.46037,7611.768741,5937.278619,5436.453606,4957.740797,5185.251227,4747.586647,3820.602907,3382.976931,3229.510662,3059.16712,,,,,
3,6278.423831,5724.503636,5476.386598,4966.549296,4319.155066,3763.251346,3582.597306,3338.484935,3022.685591,2770.404559,2573.619985,,,,,
4,4579.021471,4181.092344,4048.045847,3479.863143,3233.629821,2790.84243,2600.281969,2405.662972,2117.088213,2074.516138,1844.456576,,,,,
5,3887.51788,3646.143478,3780.785041,3613.211,3620.833298,3157.619221,2736.608574,2338.922599,2160.894688,2309.426926,2013.856623,,,,,
6,4830.439022,3850.92994,3077.832364,2798.57628,2609.849297,2602.443749,2565.376725,2910.862952,2603.768659,2315.576447,2063.598338,,,,,
7,3653.861362,3498.465115,2924.763743,2792.591102,2663.562002,2677.230311,2229.060288,1735.274447,1834.888083,1808.514103,1843.617144,,,,,